address,date_of_reg,ipc_period,ipc_status,name,primary_sector,status,uen,website
11 BLACKMORE DRIVE Singapore 599986,,Not applicable,Not applicable,METHODIST GIRLS' SCHOOL (SECONDARY),Education,Exempt,T07GS7030J,http://www.mgs.sch.edu.sg/
52 HOUGANG AVENUE 8 Singapore 538786,,Not applicable,Not applicable,MONTFORT JUNIOR SCHOOL,Education,Exempt,T07GS5018G,http://schools.moe.edu.sg/mjs/
50 HOUGANG AVENUE 8 Singapore 538785,,Not applicable,Not applicable,MONTFORT SECONDARY SCHOOL,Education,Exempt,T07GS7011F,http://schools.moe.edu.sg/montfort_sec
820 Thomson Road Mount Alvernia Hospital Singapore 574623,,Not applicable,Not applicable,MOUNT ALVERNIA HOSPITAL,Health,Exempt,T08CC4085D,http://www.mtalvernia.sg
2 Prince Charles Crescent Singapore 159011,,Not applicable,Not applicable,My Saviour's Church,Religious,Exempt,T08CC4073G,Not applicable
20 ANCHORVALE LINK Singapore 545079,,Not applicable,Not applicable,NAN CHIAU HIGH SCHOOL,Education,Exempt,T07GS7112D,http://www.nanchiauhigh.moe.edu.sg
50 ANCHORVALE LINK Singapore 545080,,Not applicable,Not applicable,NAN CHIAU PRIMARY SCHOOL,Education,Exempt,T07GS5028A,HTTP://SCHOOLS.MOE.EDU.SG/NCPS
30 JALAN LEMPENG Singapore 128806,,Not applicable,Not applicable,NAN HUA PRIMARY SCHOOL,Education,Exempt,T07GS5622D,http://schools.moe.edu.sg/nhps
2 LINDEN DRIVE Singapore 288683,,Not applicable,Not applicable,NANYANG GIRLS' HIGH SCHOOL,Education,Exempt,T07GS7114G,http://www.nygh.moe.edu.sg/
128 SERANGOON AVENUE 3 Singapore 556111,,Not applicable,Not applicable,NANYANG JUNIOR COLLEGE,Education,Exempt,T07GS0805J,http://www.nanyangjc.org
180 ANG MO KIO AVE 8 Singapore 569830,,Not applicable,Not applicable,Nanyang Polytechnic,Education,Exempt,T08GB0032G,http://www.nyp.edu.sg
180 ANG MO KIO AVENUE 8 NANYANG POLYTECHNIC Singapore 569830,,From 01/04/2016 To 31/03/2019,Live,NANYANG POLYTECHNIC EDUCATION FUND,Education,Exempt,T08CC3008E,http://www.nyp.edu.sg
52 KING'S ROAD Singapore 268097,,Not applicable,Not applicable,NANYANG PRIMARY SCHOOL,Education,Exempt,T07GS5258J,http://www.nyps.moe.edu.sg
"Blk A, 90 Goodman Road #01-01 Goodman Arts Centre Singapore 439053",,Not applicable,Not applicable,National Arts Council,Arts and Heritage,Exempt,T08GB0033C,http://www.nac.gov.sg
170 GHIM MOH ROAD #01-02 ULU PANDAN COMMUNITY CENTRE Singapore 279621,,Not applicable,Not applicable,National Council of Social Service,Social and Welfare,Exempt,T08GB0034K,http://www.ncss.org.sg
"535 Clementi Road, Singapore Singapore 599489",,Not applicable,Not applicable,NGEE ANN POLYTECHNIC,Education,Exempt,T08GB0039A,http://www.np.edu.sg
535 CLEMENTI ROAD Singapore 599489,,From 01/04/2016 To 31/03/2019,Live,NGEE ANN POLYTECHNIC FUND,Education,Exempt,T08CC3009A,http://www.np.edu.sg
344 MARINE TERRACE Singapore 449149,,Not applicable,Not applicable,NGEE ANN PRIMARY SCHOOL,Education,Exempt,T07GS5197J,http://schools.moe.edu.sg/naps
1 TAMPINES STREET 32 Singapore 529283,,Not applicable,Not applicable,NGEE ANN SECONDARY SCHOOL,Education,Exempt,T07GS7310E,http://www.ngeeannsec.moe.edu.sg
298 LORONG AH SOO Singapore 536741,,Not applicable,Not applicable,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),Education,Exempt,T07GS5635H,http://schools.moe.edu.sg/plmgps
15 SERANGOON NORTH AVE 1 Singapore 555888,,Not applicable,Not applicable,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),Education,Exempt,T07GS7026B,http://www.plmgss.moe.edu.sg
16 TOA PAYOH LORONG 7 Singapore 319320,,Not applicable,Not applicable,PEI CHUN PUBLIC SCHOOL,Education,Exempt,T07GS5602E,http://schools.moe.edu.sg/pcps/
7 PEI WAH AVENUE Singapore 597610,,Not applicable,Not applicable,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,Education,Exempt,T07GS5623L,http://schools.moe.edu.sg/phpps/
9 KING GEORGE'S AVENUE PEOPLE'S ASSOCIATION Singapore 208581,,Not applicable,Not applicable,People's Association,Community,Exempt,T08GB0041E,http://www.pa.gov.sg
9 KING GEORGE'S AVENUE PEOPLE'S ASSOCIATION Singapore 208581,,From 01/04/2017 To 31/03/2022,Live,PEOPLE'S ASSOCIATION - (COMMUNITY DEVELOPMENT COUNCIL PROJECT FUND MANAGEMENT COMMITTEE),Social and Welfare,Exempt,T07CC3010D,http://www.pa.gov.sg
9 KING GEORGE'S AVENUE PEOPLE'S ASSOCIATION Singapore 208581,,From 01/04/2017 To 31/03/2022,Live,PEOPLE'S ASSOCIATION COMMUNITY CENTRES/CLUBS BUILDING FUND,Community,Exempt,T07CC3021E,Not applicable
9 KING GEORGE'S AVENUE PEOPLE'S ASSOCIATION Singapore 208581,,From 01/06/2017 To 31/05/2022,Live,PEOPLE'S ASSOCIATION COMMUNITY DEVELOPMENT FUND,Community,Exempt,T07CC3011L,Not applicable
21 TAMPINES STREET 71 Singapore 529067,,Not applicable,Not applicable,POI CHING SCHOOL,Education,Exempt,T07GS5603A,http://schools.moe.edu.sg/pcs
31 VICTORIA ST ARCHBISHOP'S HOUSE Singapore 187997,,Not applicable,Not applicable,PORTUGUESE MISSIONS IN CHINA AT SINGAPORE,Religious,Exempt,T08CC4013K,Not applicable
5209 ANG MO KIO AVENUE 6 Singapore 569845,,Not applicable,Not applicable,PRESBYTERIAN HIGH SCHOOL,Education,Exempt,T07GS7308A,http://schools.moe.edu.sg/phs
4 Pandan Valley Eugenia Ct #07-418 Singapore 597628,,Not applicable,Not applicable,PROCUREUR IN THE STRAITS SETTLEMENTS OF THE SCHEUT MISSIONS,Religious,Exempt,T08CC4015B,Not applicable
20 ANDERSON ROAD Singapore 259978,,Not applicable,Not applicable,RAFFLES GIRLS' SCHOOL (SECONDARY),Education,Exempt,T07GS3008J,http://www.rgs.edu.sg/
1 RAFFLES INSTITUTION LANE Singapore 575954,,Not applicable,Not applicable,RAFFLES INSTITUTION,Education,Exempt,T07GS3009E,http://www.ri.sch.edu.sg/
350 BEDOK NORTH AVENUE 3 Singapore 469719,,Not applicable,Not applicable,RED SWASTIKA SCHOOL,Education,Exempt,T07GS5214E,http://www.redswastika.moe.edu.sg
300 THOMSON ROAD Singapore 307653,,Not applicable,Not applicable,REDEMPTORIST FATHERS CORPORATION,Religious,Exempt,T08CC4014F,http://novenachurch.com
9 Woodlands Ave 9 Singapore 738964,,Not applicable,Not applicable,REPUBLIC POLYTECHNIC,Education,Exempt,T08GB0046G,http://www.rp.edu.sg
820 THOMSON ROAD Mount Alvernia Hospital Singapore 574623,,Not applicable,Not applicable,Reverend Mother Superior of the Franciscan Missionaries of the Divine Motherhood in Malaya,Health,Exempt,T08CC4006D,http://www.mtalvernia.sg
9 Lorong 8 Toa Payoh Good Shepherd Place Singapore 319253,,Not applicable,Not applicable,REVEREND MOTHER SUPERIOR OF THE GOOD SHEPHERD NUNS IN MALAYA,Religious,Exempt,T08CC4007L,http://www.gssmmission.org
20 BISHAN STREET 22 THE SALVATION ARMY Singapore 579768,,From 01/07/2016 To 30/06/2019,Live,"SALVATION ARMY, THE",Social and Welfare,Exempt,T07CC3012G,http://sg.salvationarmy.org
15 SCIENCE CENTRE ROAD Singapore 609081,,Not applicable,Not applicable,SCIENCE CENTRE BOARD,Education,Exempt,T08GB0047C,http://www.science.edu.sg
15 SCIENCE CENTRE ROAD SINGAPORE SCIENCE CENTRE Singapore 609081,,Not applicable,Not applicable,SCIENCE CENTRE BOARD ENDOWMENT FUND,Education,Exempt,T08CC3013H,http://www.science.edu.sg
15 Science Centre Road Science Centre Singapore Singapore 609081,,From 01/04/2016 To 31/03/2019,Live,SCIENCE CENTRE BOARD SPONSORSHIP FUND,Education,Exempt,T08CC3014D,http://www.science.edu.sg
1 FRANCIS THOMAS DRIVE #1-1 Singapore 359340,,Not applicable,Not applicable,Secretary of the Synod of the Diocese of Singapore,Religious,Exempt,T08CC4016J,http://www.anglican.org.sg
190 Dunearn Road Singapore 309437,,Not applicable,Not applicable,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,Education,Exempt,T07GS5026J,Not applicable
190 DUNEARN ROAD Singapore 309437,,Not applicable,Not applicable,SINGAPORE CHINESE GIRLS' SCHOOL,Education,Exempt,T07GS7014E,http://www.scgs.edu.sg
407 UPPER CHANGI ROAD NORTH Singapore 507658,,Not applicable,Not applicable,SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,Social and Welfare,Exempt,T08GB0049F,Not applicable
500 DOVER ROAD SINGAPORE POLYTECHNIC Singapore 139651,,Not applicable,Not applicable,SINGAPORE POLYTECHNIC,Education,Exempt,T08GB0056A,http://www.sp.edu.sg
500 DOVER ROAD SINGAPORE POLYTECHNIC Singapore 139651,,From 01/04/2015 To 31/03/2018,Live,SINGAPORE POLYTECHNIC ENDOWMENT FUND,Education,Exempt,T08CC3015L,http://www.sp.edu.sg
8 Simei St 3 Singapore 529895,,Not applicable,Not applicable,St Andrew's Community Chapel,Religious,Exempt,T08CC4074C,http://www.sacc.org.sg
8 SIMEI STREET 3 SAINT ANDREW'S HOSPITAL Singapore 529895,,From 01/07/2015 To 30/06/2018,Live,ST ANDREW'S MISSION HOSPITAL,Health,Exempt,T08CC3017C,http://www.samh.org.sg
66 Sengkang East Way Singapore 548593,,Not applicable,Not applicable,St Anne's Church,Religious,Exempt,T08CC4037D,http://www.stanneonline.org
41 Ceylon Road Singapore 429630,,Not applicable,Not applicable,St Hilda's Church,Religious,Exempt,T08CC4076F,http://www.sthildas.org.sg
1 Leedon Road Singapore 267828,,Not applicable,Not applicable,St James' Church,,Exempt,T08CC4077B,http://www.sjc.org.sg
30 Dover Avenue Singapore 139790,,Not applicable,Not applicable,St John's - St Margaret's Church,Religious,Exempt,T08CC4080B,http://www.sjsm.org.sg
111 Farrer Road Singapore 259240,,Not applicable,Not applicable,St John's Chapel,Religious,Exempt,T08CC4079E,http://www.sjcp.org.sg
620 Upp Bt Timah Rd Singapore 678116,,Not applicable,Not applicable,St Joseph's Church (Bukit Timah),Religious,Exempt,T08CC4043C,http://stjoseph-bt.org.sg
143 Victoria St Singapore 188020,,Not applicable,Not applicable,St Joseph's Church (Victoria Street),Religious,Exempt,T08CC4032B,Not applicable
1K Eng Hoon Street Singapore 169796,,Not applicable,Not applicable,St Matthewâ€™s Church,,Exempt,T08CC4081J,http://www.smc1902.org
843 UPPER SERANGOON ROAD Singapore 534683,,Not applicable,Not applicable,ST PAUL'S CHURCH,Religious,Exempt,T08CC4082E,http://www.stpaulschurch.org.sg
55 Potong Pasir Ave 1 Singapore 358389,,Not applicable,Not applicable,ST. ANDREW'S JUNIOR COLLEGE,Education,Exempt,T07GS0804B,http://www.standrewsjc.moe.edu.sg/
2 FRANCIS THOMAS DRIVE Singapore 359337,,Not applicable,Not applicable,ST. ANDREW'S JUNIOR SCHOOL,Education,Exempt,T07GS5009J,http://www.sajs.net
15 Francis Thomas Drive Singapore 359342,,Not applicable,Not applicable,ST. ANDREW'S SECONDARY SCHOOL,Education,Exempt,T07GS7015A,http://www.saintandrewsschool.info
1602 BEDOK NORTH AVENUE 4 Singapore 469701,,Not applicable,Not applicable,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,Education,Exempt,T07GS5011B,http://www.stanthonyscanossianpri.moe.edu.sg
1600 BEDOK NORTH AVENUE 4 Singapore 469700,,Not applicable,Not applicable,ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,Education,Exempt,T07GS7016H,http://www.stanthonyscanossiansec.moe.edu.sg/
1 BUKIT BATOK STREET 34 Singapore 659321,,Not applicable,Not applicable,ST. ANTHONY'S PRIMARY SCHOOL,Education,Exempt,T07GS5259E,http://www.stanthonyspri.moe.edu.sg
220 Lorong Chuan Singapore 556742,,Not applicable,Not applicable,ST. GABRIEL'S PRIMARY SCHOOL,Education,Exempt,T07GS5012J,http://www.stgabrielspri.moe.edu.sg
24 SERANGOON AVENUE 1 Singapore 556140,,Not applicable,Not applicable,ST. GABRIEL'S SECONDARY SCHOOL,Education,Exempt,T07GS7017D,http://schools.moe.edu.sg/stgabsec
2 TAMPINES AVENUE 3 Singapore 529706,,Not applicable,Not applicable,ST. HILDA'S PRIMARY SCHOOL,Education,Exempt,T07GS5025B,http://schools.moe.edu.sg/hildanark
2 TAMPINES STREET 82 Singapore 528986,,Not applicable,Not applicable,ST. HILDA'S SECONDARY SCHOOL,Education,Exempt,T07GS7029A,http://www.sthildassec.moe.edu.sg
38 MALCOLM ROAD Singapore 308274,,Not applicable,Not applicable,ST. JOSEPH'S INSTITUTION,Education,Exempt,T07GS7020D,http://www.stjosephsinstitution.moe.edu.sg
3 ESSEX ROAD Singapore 309331,,Not applicable,Not applicable,ST. JOSEPH'S INSTITUTION JUNIOR,Education,Exempt,T07GS5014A,http://www.stmichaels.moe.edu.sg
99 WILKIE ROAD Singapore 228091,,Not applicable,Not applicable,ST. MARGARET'S PRIMARY SCHOOL,Education,Exempt,T07GS5013E,http://www.stmargaretspri.moe.edu.sg
111 FARRER ROAD Singapore 259240,,Not applicable,Not applicable,ST. MARGARET'S SECONDARY SCHOOL,Education,Exempt,T07GS7021L,http://www.stmargaretssec.moe.edu.sg
490 EAST COAST ROAD Singapore 429058,,Not applicable,Not applicable,ST. PATRICK'S SCHOOL,Education,Exempt,T07GS7022G,http://schools.moe.edu.sg/stpats/
20 SIGLAP VIEW Singapore 455789,,Not applicable,Not applicable,ST. STEPHEN'S SCHOOL,Education,Exempt,T07GS5015H,http://www.ststephens.moe.edu.sg
90 Goodman Road #01-01 Goodman Arts Centre Blk A Singapore 439053,,From 01/08/2017 To 31/07/2020,Live,SUPPORT FOR THE ARTS FUND,Arts and Heritage,Exempt,T08CC3019F,http://www.nac.gov.sg
49 MARINE CRESCENT Singapore 449761,,Not applicable,Not applicable,TAO NAN SCHOOL,Education,Exempt,T07GS5240C,HTTP://SCHOOLS.MOE.EDU.SG/TNS
21 TAMPINES AVE 1 Singapore 529757,,Not applicable,Not applicable,Temasek Polytechnic,Education,Exempt,T08GB0062L,http://www.tp.edu.sg/
21 TAMPINES AVENUE 1 TEMASEK POLYTECHNIC Singapore 529757,,From 01/04/2016 To 31/03/2019,Live,TEMASEK POLYTECHNIC GENERAL EDUCATION FUND,Education,Exempt,T08CC3020C,http://www.tp.edu.sg
1 Francis Thomas Drive #1-01 St Andrew's Village Singapore 359340,,Not applicable,Not applicable,The Bishop of Singapore,Religious,Exempt,T08CC4018A,Not applicable
4A CHESTNUT DRIVE Singapore 679330,,Not applicable,Not applicable,The Lady Superior of the Convent of the Holy Infant Jesus in Penang,Religious,Exempt,T08CC4010L,http://www.chij-sisters.org
100 JALAN MERBOK Singapore 598454,,Not applicable,Not applicable,The Mother Superior of the Daughters of Charity of the Canossian Institute (Singapore),Religious,Exempt,T08CC4005H,http://www.canossians-sg.org
47A La Salle Street Singapore 456947,,Not applicable,Not applicable,The Procureur In Singapore Of La Societe Des Missions Etrangeres,Religious,Exempt,T08CC4019H,Not applicable
70 Barker Road Singapore 309936,,Not applicable,Not applicable,The Secretary of the Trustees of the Methodist Church in Singapore,Religious,Exempt,T08CC4020E,Not applicable
132 Sophia Road Singapore 228186,,Not applicable,Not applicable,The Senior Missionary In Singapore Of The Foreign Missions Of The Presbyterian Church Of England,Religious,Exempt,T08CC4021A,Not applicable
31 VICTORIA STREET Singapore 187997,,Not applicable,Not applicable,The Titular Roman Catholic Archbishop Of Singapore,Religious,Exempt,T08CC4023D,http://www.catholic.org.sg
624 UPPER BUKIT TIMAH ROAD BOYS' TOWN SINGAPORE Singapore 678212,,Not applicable,Not applicable,THE TITULAR SUPERIOR OF THE BROTHERS OF ST. GABRIEL IN SINGAPORE,Religious,Exempt,T08CC4001B,Not applicable