Target Name of Organisation,Target UEN,Target Sector,Target Classification,Neighbour 1 Name of Organisation,Neighbour 1 UEN,Neighbour 1 Sector,Neighbour 1 Classification,Neighbour 2 Name of Organisation,Neighbour 2 UEN,Neighbour 2 Sector,Neighbour 2 Classification,Neighbour 3 Name of Organisation,Neighbour 3 UEN,Neighbour 3 Sector,Neighbour 3 Classification,Neighbour 4 Name of Organisation,Neighbour 4 UEN,Neighbour 4 Sector,Neighbour 4 Classification,Neighbour 5 Name of Organisation,Neighbour 5 UEN,Neighbour 5 Sector,Neighbour 5 Classification,Neighbour 6 Name of Organisation,Neighbour 6 UEN,Neighbour 6 Sector,Neighbour 6 Classification,Neighbour 7 Name of Organisation,Neighbour 7 UEN,Neighbour 7 Sector,Neighbour 7 Classification,Neighbour 8 Name of Organisation,Neighbour 8 UEN,Neighbour 8 Sector,Neighbour 8 Classification,Neighbour 9 Name of Organisation,Neighbour 9 UEN,Neighbour 9 Sector,Neighbour 9 Classification,Neighbour 10 Name of Organisation,Neighbour 10 UEN,Neighbour 10 Sector,Neighbour 10 Classification,Neighbour 11 Name of Organisation,Neighbour 11 UEN,Neighbour 11 Sector,Neighbour 11 Classification,Neighbour 12 Name of Organisation,Neighbour 12 UEN,Neighbour 12 Sector,Neighbour 12 Classification,Neighbour 13 Name of Organisation,Neighbour 13 UEN,Neighbour 13 Sector,Neighbour 13 Classification,Neighbour 14 Name of Organisation,Neighbour 14 UEN,Neighbour 14 Sector,Neighbour 14 Classification,Neighbour 15 Name of Organisation,Neighbour 15 UEN,Neighbour 15 Sector,Neighbour 15 Classification
ALEXANDRA HEALTH FUND LIMITED,201427909W,Health,Trust/Research Funds,ALEXANDRA HEALTH FUND LIMITED,201427909W,Health,Trust/Research Funds,ASSISI HOSPICE,201208993Z,Health,Hospice,REN CI HOSPITAL,201018593M,Health,"Community/Chronic Sick Hospital,Day Rehabilitation Centre,Nursing Home",JURONGHEALTH FUND,201118604G,Health,Cluster/Hospital Funds,Epilepsy Care Group (Singapore),S95SS0164F,Health,Diseases/Illnessess Support Group,TTSH COMMUNITY FUND,201400920N,Health,Cluster/Hospital Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",S61SS0060B,Others,Animal Welfare,SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Others,General Charitable Purposes,"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",S61SS0060B,Others,Animal Welfare,THE HOKKIEN FOUNDATION,197701426D,Others,General Charitable Purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom World Society,T08SS0161K,Others,"Children/Youth,General Charitable Purposes",ASIAN BUSINESS LAW INSTITUTE,201500327G,Others,Think Tanks,CROCODILE FOUNDATION LTD.,201535138W,Others,General Charitable Purposes,ENGINEERING GOOD LTD.,201408320W,Others,Humanitarian Aid,HAGAR (SINGAPORE) LIMITED,200401226H,Others,Children/Youth,CONJUNCT CONSULTING (SINGAPORE) LIMITED,201319107K,Others,General Charitable Purposes,THE HEAD FOUNDATION LIMITED,201306160D,Others,General Charitable Purposes,EXCLUSIVELY MONGRELS LIMITED,201216939N,Others,Animal Welfare,LEAP PHILANTHROPY LTD.,201228788H,Others,General Charitable Purposes,FAUNA & FLORA INTERNATIONAL (SINGAPORE),201133836K,Others,Environment,,,,,,,,,,,,,,,,,,,,,,,,
Waterways Watch Society,S99SS0038D,Others,Environment,SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Others,General Charitable Purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIA PACIFIC BREWERIES FOUNDATION,S94CC1034B,Others,General Charitable Purposes,SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Others,General Charitable Purposes,"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",S61SS0060B,Others,Animal Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE LAW SOCIETY OF SINGAPORE PRO BONO, LEARNING AND SUPPORT SERVICES",T07CC2064L,Others,Humanitarian Aid,CHINESE DEVELOPMENT ASSISTANCE COUNCIL,199202625K,Others,SelfHelp Groups,Singapore Indian Development Association (SINDA),S90SS0098L,Others,SelfHelp Groups,ASSOCIATION OF MUSLIM PROFESSIONALS,199105100D,Others,SelfHelp Groups,SINGAPORE RED CROSS SOCIETY,S86CC0370E,Others,General Charitable Purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Indian Development Association (SINDA),S90SS0098L,Others,SelfHelp Groups,PAP COMMUNITY FOUNDATION,198601011Z,Others,"Children/Youth,General Charitable Purposes",Singapore Youth Flying Club,S71SS0050L,Others,Children/Youth,SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Others,General Charitable Purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS ENDOWMENT FUND,T03CC1685G,Others,Think Tanks,SINGAPORE CHINESE CHAMBER OF COMMERCE FOUNDATION,196600028C,Others,General Charitable Purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singapore Buddhist Federation, The",S64SS0008K,Religious,Buddhism,"World Revival Prayer Fellowship, The",S74SS0014A,Religious,Christianity,YIO CHU KANG CHAPEL LTD,198100673K,Religious,Christianity,Faith Assembly of God Church,S64SS0017H,Religious,Christianity,BETHESDA CHAPEL LIMITED,197702882K,Religious,Christianity,CALVARY ASSEMBLY OF GOD LTD.,197901543W,Religious,Christianity,WEC INTERNATIONAL (SINGAPORE) LTD,198200772W,Religious,Christianity,WYCLIFFE BIBLE TRANSLATORS (SINGAPORE) LTD,198306044C,Religious,Christianity,THE CHURCH OF JESUS CHRIST OF LATTERDAY SAINTS SINGAPORE LIMITED,197000072D,Religious,Christianity,SINGAPORE CHRISTIAN FELLOWSHIP LTD.,197903198K,Religious,Christianity,SALEM CHAPEL LIMITED,198301685H,Religious,Christianity,Woodlands Evangelical Free Church,S64SS0047A,Religious,Christianity,HARVESTER BAPTIST CHURCH LTD.,197700527M,Religious,Christianity,Uttamayanmuni Buddhist Temple,T08SS0022F,Religious,Buddhism,"Jubilee Church, The",S61SS0196F,Religious,Christianity,NEW LIFE CHURCH LTD,198403049K,Religious,Christianity
NEW CREATION CHURCH,S84SS0112C,Religious,Christianity,NEW CREATION CHURCH,S84SS0112C,Religious,Christianity,TRINITY CHRISTIAN CENTRE LIMITED,197802911H,Religious,Christianity,KWAN IM THONG HOOD CHO TEMPLE,S84CC0046E,Religious,Buddhism,SINGAPORE SOKA ASSOCIATION,S72SS0009K,Religious,Buddhism,THE CHURCH OF JESUS CHRIST OF LATTERDAY SAINTS SINGAPORE LIMITED,197000072D,Religious,Christianity,FAITH COMMUNITY BAPTIST CHURCH,S87SS0046D,Religious,Christianity,CRU ASIA LIMITED,197200238N,Religious,Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Tree Sri Bala Subramaniar Temple,S65SS0020B,Religious,Hinduism,YIO CHU KANG CHAPEL LTD,198100673K,Religious,Christianity,Faith Assembly of God Church,S64SS0017H,Religious,Christianity,BETHESDA CHAPEL LIMITED,197702882K,Religious,Christianity,CALVARY ASSEMBLY OF GOD LTD.,197901543W,Religious,Christianity,SINGAPORE CHRISTIAN FELLOWSHIP LTD.,197903198K,Religious,Christianity,Woodlands Evangelical Free Church,S64SS0047A,Religious,Christianity,"Jubilee Church, The",S61SS0196F,Religious,Christianity,NEW LIFE CHURCH LTD,198403049K,Religious,Christianity,KWAN IM THONG HOOD CHO TEMPLE,S84CC0046E,Religious,Buddhism,Palelai Buddhist Temple,S63SS0037B,Religious,Buddhism,Pasir Panjang Christ Church,S64SS0035D,Religious,Christianity,THE 'FISHERMAN OF CHRIST' FELLOWSHIP LTD,198303120W,Religious,Christianity,Emmanuel Assembly of God,S69SS0055F,Religious,Christianity,,,,,,,,
Muslim Converts' Association of Singapore,S80SS0037D,Religious,Islam,YIO CHU KANG CHAPEL LTD,198100673K,Religious,Christianity,"World Revival Prayer Fellowship, The",S74SS0014A,Religious,Christianity,Faith Assembly of God Church,S64SS0017H,Religious,Christianity,BETHESDA CHAPEL LIMITED,197702882K,Religious,Christianity,CALVARY ASSEMBLY OF GOD LTD.,197901543W,Religious,Christianity,WEC INTERNATIONAL (SINGAPORE) LTD,198200772W,Religious,Christianity,SINGAPORE CHRISTIAN FELLOWSHIP LTD.,197903198K,Religious,Christianity,Woodlands Evangelical Free Church,S64SS0047A,Religious,Christianity,WYCLIFFE BIBLE TRANSLATORS (SINGAPORE) LTD,198306044C,Religious,Christianity,THE CHURCH OF JESUS CHRIST OF LATTERDAY SAINTS SINGAPORE LIMITED,197000072D,Religious,Christianity,"Jubilee Church, The",S61SS0196F,Religious,Christianity,SALEM CHAPEL LIMITED,198301685H,Religious,Christianity,NEW LIFE CHURCH LTD,198403049K,Religious,Christianity,HARVESTER BAPTIST CHURCH LTD.,197700527M,Religious,Christianity,Uttamayanmuni Buddhist Temple,T08SS0022F,Religious,Buddhism
Thye Hua Kwan Moral Society,S78SS0031K,Religious,Others,Singapore Centre for Global Missions,S80SS0007L,Religious,Christianity,MORIAH ASSEMBLY OF GOD LTD.,198003337E,Religious,Christianity,CHILD EVANGELISM FELLOWSHIP (SINGAPORE) LTD.,197700453M,Religious,Christianity,THE WAY CHURCH LIMITED,197902947R,Religious,Christianity,Singapore Life Church,S61SS0180C,Religious,Christianity,KWANIN WELFARE SOCIETY,S75SS0041L,Religious,Buddhism,Kim Tian Christian Church Singapore,S66SS0042J,Religious,Christianity,"Singapore Buddhist Lodge, The",S61SS0026B,Religious,Buddhism,Bethany Evangelical Free Church,S60SS0023J,Religious,Christianity,IMPACT CHRISTIAN COMMUNICATIONS LTD,198403830R,Religious,Christianity,MARANATHA BAPTIST CHURCH LIMITED,198305428C,Religious,Christianity,Bethel Assembly of God Church,S70SS0013G,Religious,Christianity,"BIBLE CHURCH, SINGAPORE, THE",S60SS0009H,Religious,Christianity,Pu Ti Buddhist Temple,S88SS0023L,Religious,Buddhism,Phoh Teck Siang Tng,S80SS0032B,Religious,Taoism
Xian Gu Tian,S97SS0021F,Religious,Taoism,"World Revival Prayer Fellowship, The",S74SS0014A,Religious,Christianity,WEC INTERNATIONAL (SINGAPORE) LTD,198200772W,Religious,Christianity,WYCLIFFE BIBLE TRANSLATORS (SINGAPORE) LTD,198306044C,Religious,Christianity,THE CHURCH OF JESUS CHRIST OF LATTERDAY SAINTS SINGAPORE LIMITED,197000072D,Religious,Christianity,SALEM CHAPEL LIMITED,198301685H,Religious,Christianity,HARVESTER BAPTIST CHURCH LTD.,197700527M,Religious,Christianity,Uttamayanmuni Buddhist Temple,T08SS0022F,Religious,Buddhism,SINGAPORE EVERY HOME CRUSADE COMPANY LTD.,197201630C,Religious,Christianity,DISCIPLESHIP TRAINING CENTRE LTD,197100578E,Religious,Christianity,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,197300850D,Religious,Christianity,Bethesda Hall (Ang Mo Kio),T05SS0003K,Religious,Christianity,SIM EAST ASIA LTD,198002683M,Religious,Christianity,FOOCHOW METHODIST CHURCH,S87CC0483E,Religious,Christianity,Queenstown Baptist Church of Singapore,S64SS0024C,Religious,Christianity,HAKKA METHODIST CHURCH,S87CC0485H,Religious,Christianity
Fei Yue Community Services,S96SS0134G,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare,Family",Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C,Social and Welfare,"Disability (Adult),Disability (Children)","Catholic Welfare Services, Singapore",S61SS0167J,Social and Welfare,"Community,Disability (Adult),Eldercare,Family",Asian Women's Welfare Association,S70SS0021J,Social and Welfare,"Community,Disability (Children),Eldercare,Family",SPD,S64SS0052D,Social and Welfare,"Disability (Adult),Disability (Children)",Association for Persons with Special Needs,S75SS0058K,Social and Welfare,"Disability (Adult),Disability (Children)",Singapore Children's Society,S62SS0057G,Social and Welfare,"Children/Youth,Family",Methodist Welfare Services,S81SS0088H,Social and Welfare,Community,PERTAPIS EDUCATION AND WELFARE CENTRE,S71SS0014H,Social and Welfare,"Children/Youth,Community,Eldercare",Cerebral Palsy Alliance Singapore,S60SS0003K,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare",Singapore Planned Families Association,S63SS0018K,Social and Welfare,"Children/Youth,Community,Family",COUNSELLING AND CARE CENTRE,S75SS0014F,Social and Welfare,"Children/Youth,Community,Family",TAN EAN KIAM FOUNDATION,195600007Z,Social and Welfare,Community,Breadline Group,S75SS0039G,Social and Welfare,Community,Singapore Anglican Community Services,S75SS0005H,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Adventist Community Services,S60SS0011A,Social and Welfare,Community
Caritas Singapore Agape Fund,T06CC2001K,Social and Welfare,Community,"Catholic Welfare Services, Singapore",S61SS0167J,Social and Welfare,"Community,Disability (Adult),Eldercare,Family",Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C,Social and Welfare,"Disability (Adult),Disability (Children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association for Persons with Special Needs,S75SS0058K,Social and Welfare,"Disability (Adult),Disability (Children)",Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C,Social and Welfare,"Disability (Adult),Disability (Children)",Asian Women's Welfare Association,S70SS0021J,Social and Welfare,"Community,Disability (Children),Eldercare,Family",Singapore Children's Society,S62SS0057G,Social and Welfare,"Children/Youth,Family",SPD,S64SS0052D,Social and Welfare,"Disability (Adult),Disability (Children)","Catholic Welfare Services, Singapore",S61SS0167J,Social and Welfare,"Community,Disability (Adult),Eldercare,Family",Association for Persons with Special Needs,S75SS0058K,Social and Welfare,"Disability (Adult),Disability (Children)",PERTAPIS EDUCATION AND WELFARE CENTRE,S71SS0014H,Social and Welfare,"Children/Youth,Community,Eldercare",Singapore Planned Families Association,S63SS0018K,Social and Welfare,"Children/Youth,Community,Family",COUNSELLING AND CARE CENTRE,S75SS0014F,Social and Welfare,"Children/Youth,Community,Family",Cerebral Palsy Alliance Singapore,S60SS0003K,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare",Methodist Welfare Services,S81SS0088H,Social and Welfare,Community,Breadline Group,S75SS0039G,Social and Welfare,Community,TAN EAN KIAM FOUNDATION,195600007Z,Social and Welfare,Community,Singapore Anglican Community Services,S75SS0005H,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Adventist Community Services,S60SS0011A,Social and Welfare,Community
Apex Day Rehabilitation Centre For Elderly,S89SS0091D,Social and Welfare,Eldercare,Singapore Planned Families Association,S63SS0018K,Social and Welfare,"Children/Youth,Community,Family",COUNSELLING AND CARE CENTRE,S75SS0014F,Social and Welfare,"Children/Youth,Community,Family",Singapore Children's Society,S62SS0057G,Social and Welfare,"Children/Youth,Family",Breadline Group,S75SS0039G,Social and Welfare,Community,PERTAPIS EDUCATION AND WELFARE CENTRE,S71SS0014H,Social and Welfare,"Children/Youth,Community,Eldercare",Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C,Social and Welfare,"Disability (Adult),Disability (Children)",Adventist Community Services,S60SS0011A,Social and Welfare,Community,TAN EAN KIAM FOUNDATION,195600007Z,Social and Welfare,Community,SPD,S64SS0052D,Social and Welfare,"Disability (Adult),Disability (Children)",Samaritans of Singapore,S69SS0047D,Social and Welfare,"Community,Support Groups",Cerebral Palsy Alliance Singapore,S60SS0003K,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare",SHINE Children and Youth Services,S76SS0021F,Social and Welfare,Children/Youth,Singapore Anglican Community Services,S75SS0005H,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Asian Women's Welfare Association,S70SS0021J,Social and Welfare,"Community,Disability (Children),Eldercare,Family",Association for Persons with Special Needs,S75SS0058K,Social and Welfare,"Disability (Adult),Disability (Children)"
Family Life Society,S85SS0018D,Social and Welfare,Family,Samaritans of Singapore,S69SS0047D,Social and Welfare,"Community,Support Groups",SHINE Children and Youth Services,S76SS0021F,Social and Welfare,Children/Youth,Singapore AntiNarcotics Association,S72SS0018H,Social and Welfare,"Children/Youth,Community,Family,Support Groups",Singapore Association of the Visually Handicapped,S61SS0119J,Social and Welfare,"Disability (Adult),Disability (Children)",Children's Aid Society,S62SS0031K,Social and Welfare,Children/Youth,"SINGAPORE ASSOCIATION FOR THE DEAF, THE",S62SS0061C,Social and Welfare,Disability (Adult),Metropolitan Young Men's Christian Association Of Singapore,S63SS0006B,Social and Welfare,"Children/Youth,Community","BOYS' TOWN, SINGAPORE",S84CC0095A,Social and Welfare,Children/Youth,Chen Su Lan Methodist Children's Home,S68SS0016K,Social and Welfare,"Children/Youth,Disability (Children),Family",Singapore AfterCare Association,S61SS0083L,Social and Welfare,"Children/Youth,Community",Young Women's Christian Association of Singapore,S61SS0075J,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family","Children's Charities Association of Singapore, The",S66SS0023F,Social and Welfare,Children/Youth,Handicaps Welfare Association,S69SS0057J,Social and Welfare,Disability (Adult),Presbyterian Community Services,S75SS0022H,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare",,,,
HEB  ASHRAM HALFWAY HOUSE,T09CC0009L,Social and Welfare,Support Groups,HCSA COMMUNITY SERVICES,S97SS0023J,Social and Welfare,"Children/Youth,Community,Eldercare",Fei Yue Community Services,S96SS0134G,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare,Family",Foo Hai Buddhist Cultural and Welfare Association,S98SS0092J,Social and Welfare,"Children/Youth,Eldercare",Care for the Elderly Foundation (Singapore),S95SS0134B,Social and Welfare,Eldercare,Metta Welfare Association,S94SS0081K,Social and Welfare,"Children/Youth,Disability (Adult),Disability (Children),Eldercare",ELDERCARE TRUST,T00CC1448L,Social and Welfare,Eldercare,AUTISM ASSOCIATION (SINGAPORE),S92SS0124D,Social and Welfare,"Disability (Adult),Disability (Children)",Autism Resource Centre (Singapore),S99SS0148L,Social and Welfare,"Disability (Adult),Disability (Children)",Life Spring Community Network,S99SS0017J,Social and Welfare,"Children/Youth,Community,Eldercare,Family",,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALLPLUS LTD.,201329363K,Sports,"Competitive Sports,NonNSAs,Others,Youth Sports",Lawn Bowls Association for the Disabled (Singapore),T04SS0110B,Sports,"Disability Sports,NonNSAs",DEAF SPORTS ASSOCIATION (SINGAPORE),T12SS0228C,Sports,"Competitive Sports,Disability Sports,NonNSAs,Youth Sports",SSP Financial Assistance Fund,T12CC0006B,Sports,NonNSAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE NATIONAL PARALYMPIC COUNCIL LTD.,200812207D,Sports,Disability Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPECIAL OLYMPICS ASIA PACIFIC, LTD.",200906631E,Sports,NonNSAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE ATHLETIC ASSOCIATION,S63SS0015L,Sports,NSAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
